sample_id,condition,intensity,area,quality_score
S000,control,100.0147618402898,212.60220825142875,0.8640267874772056
S001,treated_A,139.48118306262705,300.1603076947777,0.8813675829332458
S002,treated_B,138.16207002492897,275.80582652898426,0.8198340439679123
S003,control,89.31289793491271,276.2085734057351,0.9323343386158278
S004,treated_A,128.17993822242417,335.7652907483858,0.866831595106371
S005,treated_B,128.11694823004953,307.5022551481168,0.7529294288937712
S006,control,100.72172323116926,215.64469278432026,0.7755388979207484
S007,treated_A,155.103228683318,210.89649469062502,0.9144376848395698
S008,treated_B,135.10910874028139,286.1404498897215,0.8871065165164848
S009,control,92.55430120216072,219.5496275237223,0.6980751008794719
S010,treated_A,142.34763075277797,269.56581139733703,0.9578169843089926
S011,treated_B,146.99641811424084,286.8712792641662,0.8978421624875109
S012,control,101.26497098797478,200.68607946443242,0.9574674390157198
S013,treated_A,121.04297932937693,196.15068409916825,0.8193039295139932
S014,treated_B,141.59047448551416,268.2975686507913,0.8263435022934139
S015,control,108.34363833349946,251.3315766883989,0.7598834332198945
S016,treated_A,114.83678179072378,261.3968925016327,1.0
S017,treated_B,135.59337934543694,261.233112440647,0.8359636619674281
S018,control,77.18532712238986,224.1845317789816,0.9770026553665556
S019,treated_A,115.65693390322537,217.02769574547625,0.7982166038890176
S020,treated_B,116.21570947091575,254.6670447718297,0.863107295386648
S021,control,97.17890642710383,220.84873926851824,0.7162918010743936
S022,treated_A,115.98830277834445,212.47815371561126,0.8193706280986585
S023,treated_B,145.79770102350383,276.18179428458484,0.9287003926720022
S024,control,101.8810130394907,248.15804114733473,0.7498604947540403
S025,treated_A,132.19603583055067,284.2284987821485,0.9357782035947689
S026,treated_B,106.76536404851282,228.34256187437,0.876979025267877
S027,control,93.53568524984036,230.25823624490027,0.7664839260012595
S028,treated_A,134.2724858189839,235.0334940472942,0.8098722182859461
S029,treated_B,143.5863258040463,231.62746025414245,0.813274745863567
S030,control,81.63837081393528,255.86223753248206,0.8460384529645998
S031,treated_A,127.83370085949105,242.5958884282769,0.8071084827245526
S032,treated_B,128.30073290720705,271.3941212422488,0.783816967935637
S033,control,90.2939531268928,260.1926777625465,0.8256329837988146
S034,treated_A,150.9134793507912,340.8806345408036,0.767848820911276
S035,treated_B,130.69451454535346,215.4307505322621,0.7468378741885539
S036,control,99.60973954065375,276.63707133505136,0.8461458813994113
S037,treated_A,148.26584801074762,266.8679213339054,0.9206299380443654
S038,treated_B,133.82959394159377,259.5510486358081,0.7276502635906108
S039,control,98.65957660499008,206.50408534280166,0.8502806521171168
S040,treated_A,136.6569621487422,253.8932165546371,0.7980035044158963
S041,treated_B,142.89294483957087,283.7823124302065,0.7718283650292248
S042,control,85.29933008298768,247.52564883948085,0.9182750122171695
S043,treated_A,136.14210345565513,272.8369029643943,0.8085464248727466
S044,treated_B,161.02352790438152,250.6970662207827,0.9698641346451904
S045,control,81.43426386245821,284.6370924095886,0.7876128508682885
S046,treated_A,147.89074032032397,269.2484601534777,0.8809201594900665
S047,treated_B,143.67095635975213,189.586698480574,0.8318173594754237
S048,control,92.30235527071335,229.2378234857653,0.7896782552698909
S049,treated_A,165.00624819513635,201.0921187521915,0.8970140034062202
S050,treated_B,152.67163596918596,155.95397070411076,0.8376013941540154
S051,control,85.60853317473732,234.09653950683062,0.8982568464570917
S052,treated_A,136.11774343157194,316.67459475359533,0.8462166794226403
S053,treated_B,150.0736541713826,261.507836996179,0.7631346995758849
S054,control,97.734614495791,214.82362877785062,0.8418344605448874
S055,treated_A,145.2436540079281,237.0755046129152,0.8541564135612912
S056,treated_B,141.06875751790818,296.1796233680003,0.9266770363104958
S057,control,108.00697073001193,254.72879870195393,0.7774984794131857
S058,treated_A,156.57783887484229,271.679973454672,0.8468536117386155
S059,treated_B,132.54072848592085,258.2892227571822,0.7122497015815968
S060,control,102.43766332467531,251.15200784666038,0.9021194448274652
S061,treated_A,128.05038635192378,298.18919764303297,0.7634813620287483
S062,treated_B,143.78175775716164,277.6821535153944,0.7054912383133115
S063,control,85.75366566579832,256.47114100073486,0.845262653258021
S064,treated_A,126.3104760524599,233.49960748434964,0.9384547966930277
S065,treated_B,139.25325638073704,276.35548047711126,0.7280442441430499
S066,control,110.7851664652049,229.47258766022517,0.7629571531689258
S067,treated_A,152.178330111812,308.2845986565168,0.7905380087157374
S068,treated_B,123.47061090522043,219.32637370482792,0.7596402682926398
S069,control,90.4642916081554,245.87137071173234,0.8803542310667668
S070,treated_A,144.70355133860133,269.7424599798055,0.7854106043964412
S071,treated_B,114.10612302155708,217.61134237938762,0.7922788210831838
S072,control,94.44196162057159,301.6591493156944,0.8966644318945849
S073,treated_A,133.54069611494867,321.1142368540843,0.7895588295225052
S074,treated_B,159.59820968201547,245.16531962850934,0.8846224078224577
S075,control,108.27284680684907,273.1516349669357,0.7722891862494365
S076,treated_A,130.09179869666704,283.2536624384574,0.7530289188627768
S077,treated_B,136.83993748260056,176.36609717295175,0.7031640568647262
S078,control,96.9976551937849,257.5119404883277,0.9988962229529383
S079,treated_A,157.8529410068424,267.8529572058363,0.8243792774295202
S080,treated_B,136.00765080397986,262.662955311185,0.8695146694358743
